ID,TYPE,X,Y,Z,ORDERPARAMETER,NORMALIZED X, NORMALIZED Y, NORMALIZED Z, NORMALIZED OP, CN
21,2,5.483590,-60.488800,1.927840,22.910221,-0.878429,-0.676857,-0.999999,0.666545,8
1298,2,7.295480,-64.111198,1.927840,22.910479,-0.838057,-0.717233,-0.999999,0.666553,8
1299,2,4.578490,-63.205601,1.927840,22.910397,-0.898597,-0.707139,-0.999999,0.666550,8
1304,2,6.389540,-62.299999,3.952850,34.365421,-0.858243,-0.697045,-0.866666,0.999820,12
1331,2,8.200580,-61.394402,1.927840,22.910217,-0.817890,-0.686951,-0.999999,0.666545,8
1333,2,9.106530,-63.205601,3.952850,34.365570,-0.797703,-0.707139,-0.866666,0.999825,12
1160,2,11.823500,-64.111198,3.952850,34.365578,-0.737164,-0.717233,-0.866666,0.999825,12
1330,2,10.917600,-62.299999,1.927840,22.910336,-0.757349,-0.697045,-0.999999,0.666549,8
1336,2,10.011600,-60.488800,3.952850,34.365364,-0.777537,-0.676857,-0.866666,0.999819,12
1363,2,12.728600,-61.394402,3.952850,34.365356,-0.716997,-0.686951,-0.866666,0.999819,12
1187,2,13.634600,-63.205601,1.927840,22.910429,-0.696810,-0.707139,-0.999999,0.666551,8
1186,2,16.351601,-64.111198,1.927840,22.910398,-0.636270,-0.717233,-0.999999,0.666550,8
1192,2,15.445600,-62.299999,3.952850,34.365448,-0.656457,-0.697045,-0.866666,0.999821,12
1219,2,17.256701,-61.394402,1.927840,22.910240,-0.616102,-0.686951,-0.999999,0.666546,8
1362,2,14.539700,-60.488800,1.927840,22.910213,-0.676642,-0.676857,-0.999999,0.666545,8
1221,2,18.162600,-63.205601,3.952850,34.365509,-0.595917,-0.707139,-0.866666,0.999823,12
1032,2,20.879601,-64.111198,3.952850,34.365734,-0.535377,-0.717233,-0.866666,0.999830,12
1218,2,19.973700,-62.299999,1.927840,22.910366,-0.555562,-0.697045,-0.999999,0.666549,8
1224,2,19.067699,-60.488800,3.952850,34.365353,-0.575750,-0.676857,-0.866666,0.999818,12
1250,2,21.784700,-61.394402,3.952850,34.365353,-0.515210,-0.686951,-0.866666,0.999818,12
237,2,1.846800,-89.480400,5.977860,14.391333,-0.959464,-1.000000,-0.733332,0.418698,5
241,2,0.961181,-87.668503,8.002850,22.921234,-0.979197,-0.979804,-0.600000,0.666866,8
263,2,2.766510,-86.755402,5.977850,34.356853,-0.938971,-0.969627,-0.733333,0.999571,12
265,2,3.689210,-88.524803,8.002850,25.708424,-0.918411,-0.989349,-0.600000,0.747956,9
86,2,6.374840,-89.480400,8.002850,17.241978,-0.858571,-1.000000,-0.600000,0.501635,6
103,2,8.217250,-88.524803,5.977850,25.708469,-0.817518,-0.989349,-0.733333,0.747957,9
262,2,5.489220,-87.668503,5.977850,31.475883,-0.878304,-0.979804,-0.733333,0.915753,11
297,2,7.294550,-86.755402,8.002850,34.357037,-0.838078,-0.969627,-0.600000,0.999577,12
102,2,10.902900,-89.480400,5.977860,17.241899,-0.757677,-1.000000,-0.733332,0.501632,6
108,2,10.017300,-87.668503,8.002850,31.475952,-0.777410,-0.979804,-0.600000,0.915755,11
135,2,11.822600,-86.755402,5.977850,34.356827,-0.737184,-0.969627,-0.733333,0.999570,12
137,2,12.745300,-88.524803,8.002850,25.708340,-0.716625,-0.989349,-0.600000,0.747953,9
14,2,15.430900,-89.480400,8.002850,17.241924,-0.656785,-1.000000,-0.600000,0.501633,6
31,2,17.273300,-88.524803,5.977850,25.708542,-0.615732,-0.989349,-0.733333,0.747959,9
134,2,14.545300,-87.668503,5.977850,31.475780,-0.676517,-0.979804,-0.733333,0.915750,11
169,2,16.350599,-86.755402,8.002850,34.356987,-0.636292,-0.969627,-0.600000,0.999575,12
30,2,19.959000,-89.480400,5.977860,17.241945,-0.555890,-1.000000,-0.733332,0.501634,6
36,2,19.073400,-87.668503,8.002850,31.476095,-0.575623,-0.979804,-0.600000,0.915759,11
61,2,20.878700,-86.755402,5.977850,34.356869,-0.535397,-0.969627,-0.733333,0.999572,12
63,2,21.801399,-88.524803,8.002850,25.708342,-0.514838,-0.989349,-0.600000,0.747953,9
454,2,3.674950,-84.035202,5.977850,34.366982,-0.918729,-0.939307,-0.733333,0.999866,12
455,2,0.959058,-83.128197,5.977850,25.768604,-0.979244,-0.929198,-0.733333,0.749706,9
457,2,1.864350,-84.942596,8.002850,31.506596,-0.959073,-0.949421,-0.600000,0.916646,11
460,2,2.769730,-82.223801,8.002850,34.367100,-0.938899,-0.919117,-0.600000,0.999869,12
442,2,0.055962,-85.839798,5.977850,17.187248,-0.999367,-0.959422,-0.733333,0.500042,6
268,2,4.584010,-85.839798,8.002850,34.344635,-0.898474,-0.959422,-0.600000,0.999216,12
295,2,6.392390,-84.942596,5.977850,34.371395,-0.858180,-0.949421,-0.733333,0.999994,12
300,2,8.203000,-84.035202,8.002850,34.367046,-0.817836,-0.939307,-0.600000,0.999868,12
486,2,7.297770,-82.223801,5.977850,34.366913,-0.838006,-0.919117,-0.733333,0.999864,12
489,2,5.487100,-83.128197,8.002850,34.362297,-0.878351,-0.929198,-0.600000,0.999730,12
294,2,9.112050,-85.839798,5.977850,34.344471,-0.797580,-0.959422,-0.733333,0.999211,12
326,2,12.731000,-84.035202,5.977850,34.367107,-0.716943,-0.939307,-0.733333,0.999869,12
